vendor_id,pickup_datetime,dropoff_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,rate_code,passenger_count,trip_distance,payment_type,fare_amount,extra,mta_tax,imp_surcharge,tip_amount,tolls_amount,total_amount,store_and_fwd_flag
VTS,2009-05-07 14:15:00 UTC,2009-05-07 14:16:00 UTC,-73.971148,40.76119,-73.971387,40.761042,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-02-28 13:41:00 UTC,2009-02-28 13:41:00 UTC,-73.849452,40.72433,-73.849462,40.724337,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-01-29 13:07:00 UTC,2009-01-29 13:01:00 UTC,-73.937393,40.758155,-73.937398,40.758157,,1,0.0,CRD,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-10-21 08:26:00 UTC,2009-10-21 08:27:00 UTC,-73.989022,40.777215,-73.987518,40.77841,,1,0.15,CSH,2.5,0.0,,,0.0,0.0,2.5,
CMT,2009-03-03 07:57:48 UTC,2009-03-03 07:58:04 UTC,-73.972684,40.753421,-73.972684,40.753421,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-06-06 08:05:00 UTC,2009-06-06 08:06:00 UTC,-73.982015,40.762793,-73.982057,40.763183,,3,0.05,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-03-07 16:22:00 UTC,2009-03-07 16:23:00 UTC,-73.966385,40.764572,-73.966687,40.764298,,2,0.01,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2010-10-18 11:05:00 UTC,2010-10-18 11:05:00 UTC,-73.984623,40.751033,-73.984812,40.751147,1,1,0.02,CSH,2.5,0.0,0.0,,0.0,0.0,2.5,
VTS,2009-10-27 12:10:00 UTC,2009-10-27 12:11:00 UTC,-73.967515,40.752355,-73.967493,40.752405,,1,0.03,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-01-08 11:23:00 UTC,2009-01-08 11:30:00 UTC,-73.890793,40.81828,-73.890757,40.818263,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
DDS,2009-05-06 08:57:51 UTC,2009-05-06 09:04:44 UTC,-73.95849,40.774756,-73.952828,40.783277,,1,0.9,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-04-21 14:49:00 UTC,2009-04-21 14:49:00 UTC,-73.957153,40.766573,-73.957147,40.766577,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-08-14 15:11:00 UTC,2009-08-14 15:11:00 UTC,-73.972055,40.744148,-73.972433,40.744277,,1,0.04,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-06-07 13:09:00 UTC,2009-06-07 13:10:00 UTC,-73.96583,40.764548,-73.965923,40.76474,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
DDS,2009-02-27 07:25:25 UTC,2009-02-27 07:27:58 UTC,-73.972443,40.757913,-73.968937,40.754504,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2010-11-21 06:03:00 UTC,2010-11-21 06:04:00 UTC,-73.942122,40.751433,-73.942098,40.75145,1,1,0.0,CSH,2.5,0.0,0.0,,0.0,0.0,2.5,
VTS,2009-08-27 07:19:00 UTC,2009-08-28 00:00:00 UTC,0.0,0.0,-73.98573,40.760345,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
DDS,2009-03-21 18:03:00 UTC,2009-03-21 18:59:38 UTC,-73.784876,40.653047,-74.015414,40.711399,,1,16.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
DDS,2009-10-05 15:44:12 UTC,2009-10-05 15:44:51 UTC,-73.985661,40.722987,-73.985543,40.723274,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-02-20 10:27:00 UTC,2009-02-20 10:28:00 UTC,-73.983007,40.756772,-73.983308,40.757915,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
CMT,2009-02-04 07:23:00 UTC,2009-02-04 07:23:41 UTC,-73.96379,40.771146,-73.962284,40.773474,,1,0.2,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2012-07-08 12:49:00 UTC,2012-07-08 12:49:00 UTC,-73.976493,40.780557,-73.976562,40.78047,4,2,0.01,CSH,2.5,0.0,0.0,,0.0,0.0,2.5,
VTS,2011-02-16 14:56:00 UTC,2011-02-16 14:57:00 UTC,-73.975727,40.723735,-73.975727,40.723735,1,1,0.0,CSH,2.5,0.0,0.0,,0.0,0.0,2.5,
VTS,2009-05-19 11:37:00 UTC,2009-05-19 11:37:00 UTC,-73.952558,40.74812,-73.952558,40.74812,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
DDS,2009-07-24 08:26:59 UTC,2009-07-24 08:43:23 UTC,-73.971922,40.765339,-73.989949,40.735436,,1,2.3,CSH,2.5,0.0,,,0.0,0.0,2.5,
